img_name,x1,y1,x2,y2,label,z,k-fold
./segments/images/imgc102 53.png,13,49,33,103,9,3.0,4
./segments/images/imgc102 53.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 54.png,12,49,35,103,9,3.0,4
./segments/images/imgc102 54.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 55.png,12,48,36,103,9,3.0,4
./segments/images/imgc102 55.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 56.png,12,48,36,104,9,3.0,4
./segments/images/imgc102 56.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 57.png,12,48,36,104,9,3.0,4
./segments/images/imgc102 57.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 58.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 58.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 59.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 59.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 60.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 60.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 61.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 61.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 62.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 62.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 63.png,12,47,37,104,9,3.0,4
./segments/images/imgc102 63.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 64.png,12,47,37,103,9,3.0,4
./segments/images/imgc102 64.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 65.png,12,47,37,103,9,3.0,4
./segments/images/imgc102 65.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 66.png,12,47,36,103,9,3.0,4
./segments/images/imgc102 66.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 67.png,12,47,36,103,9,3.0,4
./segments/images/imgc102 67.png,0,0,110,144,bg,3.0,4
./segments/images/imgc102 68.png,12,47,36,103,9,3.0,4
./segments/images/imgc102 68.png,0,0,110,144,bg,3.0,4
